timestep,average_reward
100,-9.328415
200,-7.612532
300,-3.6127508
400,-2.8212616
500,-2.2972791
600,-2.0268984
700,-2.2762463
800,-1.979489
900,-2.4839647
1000,-2.6590455
1100,-2.5603912
1200,-2.273731
1300,-1.9102172
1400,-1.8397783
1500,-2.4902024
1600,-2.4681375
1700,-2.7889786
1800,-2.02271
1900,-2.1532598
2000,-2.058304
2100,-2.7154312
2200,-2.7440581
2300,-2.922473
2400,-2.477638
2500,-2.721887
2600,-2.5894382
2700,-2.2585926
2800,-2.6208239
2900,-2.7971442
3000,-2.8033495
3100,-2.4733312
3200,-3.4191668
3300,-2.5853693
3400,-2.6266186
3500,-2.6959438
3600,-1.6465323
3700,-2.5293217
3800,-1.7908422
3900,-3.184546
4000,-1.8376029
4100,-3.6189785
4200,-3.1277075
4300,-2.9602945
4400,-2.7843857
4500,-3.0030434
4600,-2.6914432
4700,-2.9383938
4800,-3.5455737
4900,-3.1953118
5000,-2.6904306
5100,-2.0363283
5200,-4.091549
5300,-1.6830369
5400,-4.0619717
5500,-3.347063
5600,-1.7754631
5700,-2.9307742
5800,-3.1504493
5900,-3.198516
6000,-2.9000943
6100,-3.0281394
6200,-3.3762085
6300,-3.1213593
6400,-1.8828986
6500,-1.7241749
6600,-3.4292843
6700,-1.6940364
6800,-4.464812
6900,-4.306596
7000,-1.8310404
7100,-3.8230755
7200,-3.479707
7300,-3.6164684
7400,-2.9771464
7500,-4.2187166
7600,-3.0463831
7700,-2.9261594
7800,-1.8152853
7900,-3.2434537
8000,-3.1916997
8100,-3.6197147
8200,-4.556136
8300,-3.081441
8400,-3.441558
8500,-3.2788649
8600,-1.8440279
8700,-2.7021618
8800,-1.8788605
8900,-4.6411
9000,-3.2668006
9100,-3.0783255
9200,-3.2797053
9300,-2.101237
9400,-1.8419211
9500,-1.8696513
9600,-3.8209176
9700,-2.0914714
9800,-4.423081
9900,-1.8688031
10000,-1.7542108
10100,-1.9762992
10200,-3.136648
10300,-4.2667108
10400,-3.7622557
10500,-2.9997277
10600,-3.6543167
10700,-2.1343544
10800,-2.0397866
10900,-4.4694443
11000,-2.1039927
11100,-1.8599173
11200,-2.0289695
11300,-1.8285712
11400,-1.853282
11500,-2.6357522
11600,-1.8287382
11700,-2.5751073
11800,-2.704874
11900,-2.3198905
12000,-3.0618432
12100,-1.9585878
12200,-4.1681705
12300,-1.9657335
12400,-2.547739
12500,-2.7712145
12600,-1.8812718
12700,-2.6468902
12800,-1.9372631
12900,-2.7622652
13000,-3.3564792
13100,-3.46561
13200,-2.6558568
13300,-1.8765497
13400,-2.8223703
13500,-3.050524
13600,-2.636197
13700,-3.2903326
13800,-2.6455557
13900,-1.9189056
14000,-1.8707836
14100,-1.9512086
14200,-2.8766065
14300,-3.1379242
14400,-2.0791998
14500,-2.5288785
14600,-1.9049109
14700,-1.8488593
14800,-2.9264123
14900,-2.3572114
15000,-1.8208499
15100,-3.0405564
15200,-2.3255467
15300,-1.957273
15400,-2.897479
15500,-2.4291232
15600,-2.4855657
15700,-3.1376657
15800,-2.380501
15900,-3.0991514
16000,-2.5380802
16100,-2.4487464
16200,-2.5253391
16300,-1.9492769
16400,-1.9612851
16500,-2.6306293
16600,-2.0371563
16700,-1.8670872
16800,-2.3837724
16900,-1.9611658
17000,-3.0855923
17100,-1.9047635
17200,-2.9721591
17300,-2.7039857
17400,-3.5168371
17500,-2.3708096
17600,-2.3336692
17700,-1.8481871
17800,-2.246786
17900,-2.9375536
18000,-1.833452
18100,-1.8768563
18200,-2.0249794
18300,-1.9521254
18400,-2.190371
18500,-2.0381231
18600,-2.5382416
18700,-2.5797112
18800,-1.8055342
18900,-2.24423
19000,-2.5704665
19100,-2.5334454
19200,-2.2000353
19300,-2.565129
19400,-1.9611386
19500,-2.7607908
19600,-2.1897182
19700,-2.2694263
19800,-2.0507274
19900,-2.269399
20000,-2.624262
20100,-2.730168
20200,-2.2283568
20300,-2.2049928
20400,-2.1833067
20500,-2.278684
20600,-2.0103807
20700,-2.3214366
20800,-2.1171784
20900,-2.1615868
21000,-2.2215497
21100,-2.2294939
21200,-2.6725597
