timestep,average_reward
100,-10.82895
200,-4.732525
300,-4.949526
400,-5.9161587
500,-7.342433
600,-2.8228893
700,-10.274393
800,-8.4956455
900,-3.5756392
1000,-2.7270813
1100,-7.6495366
1200,-8.612211
1300,-3.9545434
1400,-4.717739
1500,-10.011004
1600,-9.077141
1700,-3.3658392
1800,-8.395994
1900,-8.208358
2000,-5.0370846
2100,-7.9171834
2200,-3.876651
2300,-3.8883057
2400,-6.450445
2500,-4.8910933
2600,-5.031645
2700,-4.1713405
2800,-3.4113889
2900,-3.5490084
3000,-3.934422
3100,-3.6628547
3200,-2.6052625
3300,-8.209142
3400,-10.569127
3500,-3.3469207
3600,-4.8977876
3700,-2.8911457
3800,-3.9086401
3900,-11.51737
4000,-7.7669926
4100,-4.8737087
4200,-5.2901225
4300,-7.9907928
4400,-3.6889954
4500,-2.129104
4600,-4.0043592
4700,-4.02591
4800,-3.8309753
4900,-4.73106
5000,-3.5864358
5100,-4.469961
5200,-2.4970825
5300,-5.3506556
5400,-3.92056
5500,-4.3794208
5600,-4.1434355
5700,-3.1173737
5800,-3.0045407
5900,-2.9413733
6000,-4.11347
6100,-3.695524
6200,-3.3217182
6300,-2.5696366
6400,-2.7489429
6500,-5.6331396
6600,-5.0521617
6700,-3.9946826
6800,-3.204578
6900,-2.9245892
7000,-3.0660453
7100,-4.7613163
7200,-3.6631012
7300,-3.6281266
7400,-4.426476
7500,-3.9677265
7600,-2.7801728
7700,-3.879619
7800,-3.5071545
7900,-2.7050931
8000,-4.3374476
8100,-4.006327
8200,-4.2321587
8300,-4.3320937
8400,-3.3194757
8500,-2.1085737
8600,-3.5227582
8700,-4.106433
8800,-4.7498393
8900,-2.905453
9000,-2.694281
9100,-3.4839783
9200,-2.8978424
9300,-3.0833247
9400,-3.1066537
9500,-3.938967
9600,-3.21725
9700,-3.3812966
9800,-3.5998201
9900,-3.40084
10000,-4.5249515
10100,-4.1849623
10200,-2.943947
10300,-3.5299292
10400,-2.401111
10500,-2.438865
10600,-3.297955
10700,-2.6621947
10800,-2.4695163
10900,-3.1248813
11000,-3.3034327
11100,-3.3388276
11200,-2.3476255
11300,-2.6260366
11400,-3.533443
11500,-4.1573906
11600,-3.157182
11700,-3.4815927
11800,-2.2839134
11900,-3.9873667
12000,-2.6839554
12100,-2.9750204
12200,-2.9733548
12300,-2.7889783
12400,-2.436099
12500,-2.9867032
12600,-3.9172611
12700,-3.2723026
12800,-2.495677
12900,-2.499019
13000,-2.4011889
13100,-2.966966
13200,-3.694097
13300,-2.5557272
13400,-3.1218882
13500,-2.6063464
13600,-2.78605
13700,-3.5806696
13800,-2.9597352
13900,-2.428001
14000,-2.7935972
14100,-3.2086265
14200,-2.2363956
14300,-3.549518
14400,-2.711995
14500,-2.0218172
14600,-2.4112694
14700,-3.0678911
14800,-2.2143948
14900,-2.5500982
15000,-2.0344987
15100,-2.7856894
15200,-2.548185
15300,-2.4860907
15400,-3.3378284
15500,-2.3036034
15600,-2.587397
15700,-2.619964
15800,-3.3119397
15900,-2.3701673
16000,-2.3667722
16100,-2.8554068
16200,-2.9581976
16300,-3.3679056
16400,-2.7267325
16500,-2.1550553
16600,-2.8335822
16700,-2.7505867
16800,-3.231345
16900,-2.5441678
17000,-2.5593765
17100,-3.0308127
17200,-2.811782
17300,-2.3191411
17400,-2.5084314
17500,-3.1342123
17600,-2.8396692
17700,-2.3583055
17800,-3.202605
17900,-3.227114
18000,-2.2607362
18100,-2.6025803
18200,-2.5247183
18300,-2.6991875
18400,-2.9264562
18500,-2.2677398
18600,-2.8026145
18700,-2.4937305
18800,-2.4344778
18900,-2.4434326
19000,-2.830463
19100,-2.8807535
19200,-3.115249
19300,-2.2259498
19400,-2.2069886
19500,-2.5847092
19600,-2.3358865
19700,-2.759639
19800,-2.2133148
19900,-2.8447735
20000,-2.7255204
20100,-2.5785022
20200,-2.2014856
20300,-2.6906354
20400,-2.3168283
20500,-2.214541
20600,-2.167961
20700,-2.263431
20800,-2.2428563
20900,-2.225466
21000,-2.359125
21100,-2.0189018
21200,-2.1079006
21300,-2.304387
21400,-2.2773018
21500,-2.660991
21600,-2.2858226
21700,-2.9407535
21800,-2.6809406
21900,-2.5158882
22000,-2.811368
22100,-2.891303
22200,-2.3692503
22300,-2.6559415
22400,-2.1581204
22500,-2.6286669
22600,-3.2757804
22700,-2.137995
22800,-2.4320257
22900,-2.403495
23000,-2.829696
23100,-2.5568132
23200,-2.1255877
23300,-3.0514688
23400,-2.0372365
23500,-2.030673
23600,-2.4000869
23700,-2.6818764
23800,-2.3862824
23900,-2.2657638
24000,-2.8073385
24100,-2.5051472
24200,-2.45112
24300,-2.4324582
24400,-2.2520087
24500,-2.1351516
24600,-2.3774226
24700,-2.6681151
24800,-2.2515955
24900,-2.2631757
25000,-2.400779
