timestep,average_reward
100,-7.6080623
200,-8.13449
300,-6.0869184
400,-3.8061228
500,-3.753296
600,-2.760883
700,-2.833432
800,-2.1674714
900,-2.5795798
1000,-2.5397809
1100,-2.7548087
1200,-2.2435296
1300,-2.3666337
1400,-2.1552804
1500,-2.503772
1600,-2.9639077
1700,-2.3247464
1800,-2.4788003
1900,-1.8424824
2000,-2.1244934
2100,-2.6394372
2200,-3.0238137
2300,-2.5466862
2400,-2.3448467
2500,-2.6330068
2600,-2.1320274
2700,-2.6097288
2800,-2.6773264
2900,-2.306322
3000,-2.034931
3100,-2.0770597
3200,-2.3930922
3300,-3.1575358
3400,-2.9524467
3500,-2.451357
3600,-1.7739705
3700,-2.3188615
3800,-2.224525
3900,-2.4548979
4000,-2.1829574
4100,-2.4820318
4200,-1.7552338
4300,-2.5566375
4400,-2.5753617
4500,-2.1534784
4600,-2.0485306
4700,-2.4988303
4800,-2.0424309
4900,-2.363672
5000,-2.7325408
5100,-2.0294359
5200,-2.5517988
5300,-2.0647712
5400,-2.39148
5500,-1.9790397
5600,-2.1478243
5700,-1.8748398
5800,-2.0351675
5900,-2.374942
6000,-1.9192809
6100,-2.3208168
6200,-2.1548438
6300,-2.0182815
6400,-2.0491204
6500,-1.9426302
6600,-1.9381006
6700,-1.9077086
6800,-2.065026
6900,-2.3387187
7000,-2.0611796
7100,-2.4407907
7200,-1.9853156
7300,-2.1747823
7400,-2.2968373
7500,-2.3697064
7600,-2.3720253
7700,-2.0412145
7800,-2.1890047
7900,-1.8682542
8000,-1.9722693
8100,-1.8556195
8200,-1.8018532
8300,-1.8612344
8400,-2.3192396
8500,-1.9106288
8600,-1.7096766
8700,-1.8576094
8800,-2.4104404
8900,-1.8930877
9000,-1.8715903
9100,-2.3355188
9200,-2.5522852
9300,-2.2757096
9400,-2.3349068
9500,-2.524481
9600,-2.0642147
9700,-2.370281
9800,-2.4335535
9900,-2.2918763
10000,-1.809614
10100,-2.0285947
10200,-1.7871126
10300,-1.8243663
10400,-2.049501
10500,-2.4048824
10600,-1.759675
10700,-2.1500137
10800,-2.247673
10900,-2.2097373
11000,-1.837392
11100,-1.8065006
11200,-2.2850723
11300,-2.1639576
11400,-1.9221228
11500,-2.3436246
11600,-2.1513288
11700,-1.7516506
11800,-2.5455015
11900,-2.5346305
12000,-2.281077
12100,-1.8464924
12200,-2.053051
12300,-2.0448358
12400,-1.9379287
12500,-2.3441477
12600,-2.3938117
12700,-2.3380907
12800,-2.068919
12900,-2.448944
13000,-2.2782917
13100,-2.3269136
13200,-2.2055597
13300,-1.8027244
13400,-1.8423861
13500,-2.603219
13600,-1.8791074
13700,-2.3340714
13800,-1.734175
13900,-2.0709095
14000,-2.318995
14100,-1.8823315
14200,-1.8133316
14300,-2.3304963
14400,-2.3045492
14500,-2.3908434
14600,-1.8109517
14700,-2.3394723
14800,-2.2751489
14900,-1.9156357
15000,-1.7563001
15100,-1.7465175
15200,-2.366271
15300,-2.1378293
15400,-2.3556201
15500,-1.8846276
15600,-2.3189535
15700,-2.2737763
15800,-2.271836
15900,-2.4308546
16000,-2.3193395
16100,-2.2733154
16200,-2.008544
16300,-1.7958847
16400,-2.3692133
16500,-1.8631865
16600,-2.3470223
16700,-1.9202397
16800,-2.2657282
16900,-1.9443958
17000,-1.825575
17100,-1.6889087
17200,-2.3276293
17300,-2.33335
17400,-2.2388449
17500,-2.3341274
17600,-2.3436277
17700,-1.8962196
17800,-1.7850966
17900,-2.274798
18000,-2.3201652
18100,-2.2884302
18200,-2.3920004
18300,-2.3608088
18400,-2.1837347
18500,-1.9387102
18600,-2.3785865
18700,-1.9159395
18800,-2.4151728
18900,-2.0922542
19000,-2.3799875
19100,-2.2377205
19200,-2.3066761
19300,-2.2964985
19400,-2.3587172
19500,-2.2868948
19600,-2.3327696
19700,-2.0951781
19800,-1.9864993
19900,-2.165261
20000,-1.9762676
20100,-1.8914942
20200,-1.9400929
20300,-2.19466
20400,-1.8748143
20500,-1.8445357
20600,-1.7722615
20700,-2.472087
20800,-2.305155
20900,-1.9725417
21000,-2.3555634
21100,-1.9376588
21200,-2.314157
21300,-2.351718
21400,-1.8225306
21500,-1.9494168
21600,-2.4466555
21700,-2.4365265
21800,-2.1608
21900,-1.8839443
22000,-2.2684069
22100,-2.2898605
22200,-2.280292
22300,-2.3434381
22400,-1.8646693
22500,-1.8108233
22600,-1.824459
22700,-2.1597052
22800,-1.9368074
22900,-1.7889616
23000,-1.9032005
23100,-1.8243575
23200,-2.3439765
23300,-1.8965894
23400,-2.0468624
23500,-1.8976066
23600,-1.9037858
23700,-2.3076673
23800,-1.9293486
23900,-1.835963
24000,-1.9614282
24100,-1.9864492
24200,-1.8853831
24300,-2.0065136
24400,-2.471917
24500,-1.8680253
24600,-1.9615395
24700,-1.9296628
24800,-2.370266
24900,-2.1948738
25000,-1.8851218
25100,-1.915765
25200,-1.8804072
25300,-1.8853492
25400,-2.0707264
25500,-2.3894832
25600,-1.9079721
25700,-1.9324701
25800,-1.8527749
25900,-2.3402004
26000,-1.9725522
26100,-2.3248107
26200,-2.0600436
26300,-2.0095356
26400,-2.4244125
26500,-1.9500518
26600,-2.5401688
26700,-2.3274777
26800,-1.8715345
26900,-2.4034724
27000,-1.991495
27100,-1.9854372
27200,-2.1754687
27300,-2.2379212
27400,-2.0483599
27500,-2.4130397
27600,-1.9065894
27700,-1.8502381
27800,-2.1106553
27900,-2.086011
28000,-1.9828018
28100,-1.8139697
28200,-1.8778372
28300,-2.524961
28400,-2.0045228
28500,-2.4889326
28600,-1.9632655
28700,-2.4644253
28800,-2.0533884
28900,-1.8794616
29000,-2.3211868
29100,-2.0412927
29200,-2.3057232
29300,-2.1762195
29400,-2.0336292
29500,-2.1115952
29600,-1.9975928
29700,-1.901751
29800,-2.2024233
29900,-2.3448853
30000,-1.9355234
30100,-2.0414782
30200,-1.7751461
30300,-1.9050015
30400,-2.1303952
30500,-1.8699136
30600,-1.8990175
30700,-2.2705932
30800,-1.8890212
30900,-2.1896167
31000,-1.8695457
31100,-2.5151658
31200,-1.8476899
31300,-2.5580544
31400,-2.3300695
31500,-1.7748865
31600,-1.929802
31700,-1.8659134
31800,-1.8955257
31900,-2.0699246
32000,-2.4076295
32100,-2.0005186
32200,-2.361043
32300,-1.9876833
32400,-1.9062378
32500,-1.8366028
32600,-2.3467264
32700,-1.962078
32800,-2.0657418
32900,-2.0304797
33000,-2.026061
33100,-1.9643725
33200,-1.8536143
33300,-1.8542536
33400,-2.4741547
33500,-1.8243006
33600,-2.3212664
33700,-2.3255649
33800,-2.3585024
33900,-2.2150471
34000,-2.1109498
34100,-2.4217684
34200,-2.0851374
34300,-1.9892577
34400,-1.8817182
34500,-1.8364005
34600,-1.8937246
34700,-2.049006
34800,-2.1142988
34900,-1.8825413
35000,-2.1739779
35100,-2.3521435
35200,-1.8257974
35300,-2.085828
35400,-2.401832
35500,-1.8647544
35600,-2.3601668
35700,-1.9478968
35800,-1.9722592
35900,-2.3863318
36000,-2.3937252
36100,-2.4306831
36200,-2.0170863
36300,-1.7669417
36400,-1.8618039
36500,-1.9779319
36600,-2.5330017
36700,-1.9380941
36800,-1.825744
36900,-2.367573
37000,-2.4174824
37100,-1.8537776
37200,-2.5512185
37300,-2.3785348
37400,-1.9802896
37500,-1.9038745
37600,-2.532695
37700,-2.1929066
37800,-1.9959385
37900,-2.0497427
38000,-2.030436
38100,-1.8454503
38200,-2.0075486
38300,-1.9522963
38400,-2.2577202
38500,-2.4293115
38600,-2.0990794
38700,-2.2105694
38800,-1.8008065
38900,-1.9498295
39000,-2.231887
39100,-2.2303052
39200,-2.1813488
39300,-1.9233377
39400,-1.7814713
39500,-2.1923223
39600,-1.9063721
39700,-2.4517865
39800,-2.5225005
39900,-2.2357655
40000,-2.2787158
40100,-1.8063164
40200,-2.1452441
40300,-2.0158293
40400,-2.3825355
40500,-2.1214125
40600,-2.0391235
40700,-2.0271876
40800,-2.5724452
40900,-1.7836175
41000,-2.2734725
41100,-2.516035
41200,-1.7268186
41300,-1.981062
41400,-2.5719986
41500,-2.032028
41600,-1.8845177
41700,-1.9361604
41800,-1.9835525
41900,-1.8707007
42000,-3.0450745
42100,-1.8881851
42200,-2.2399378
42300,-1.897559
42400,-2.0666552
42500,-2.0292282
42600,-1.7614557
42700,-1.8956931
42800,-2.020289
42900,-1.9403534
43000,-2.4549031
43100,-2.0688128
43200,-2.5683649
43300,-2.0556033
43400,-1.782396
43500,-1.9639407
43600,-2.4002395
43700,-2.1996934
43800,-2.7003489
43900,-2.5307255
44000,-1.7540069
44100,-2.294477
44200,-2.3819351
44300,-1.899721
44400,-2.1237943
44500,-2.2584453
44600,-2.1661906
44700,-1.7714283
44800,-2.3319178
44900,-1.9226925
45000,-1.7629254
45100,-2.0118494
45200,-1.9483414
45300,-2.0758576
45400,-2.449414
45500,-2.0382185
45600,-1.9077868
45700,-2.0659192
45800,-2.0952356
45900,-2.2093346
46000,-2.553623
46100,-1.8949901
46200,-1.9971144
46300,-2.010818
46400,-2.3701396
46500,-2.3796046
46600,-1.9048245
46700,-2.0877573
46800,-2.5727324
46900,-2.0360987
47000,-1.9498273
47100,-1.9299191
47200,-1.9368255
47300,-2.307244
47400,-1.9201708
47500,-2.4859815
47600,-1.9281096
47700,-2.0365136
47800,-2.0160503
47900,-1.7458638
48000,-1.9001307
48100,-1.8914908
48200,-1.9441364
48300,-2.6393156
48400,-2.535605
48500,-2.3953736
48600,-1.9712862
48700,-2.423856
48800,-2.4530885
48900,-2.5604212
49000,-2.0725222
