timestep,average_reward
100,-6.290907
200,-4.4346986
300,-5.1860847
400,-3.7313983
500,-2.2869349
600,-2.3759398
700,-2.0039856
800,-1.842749
900,-2.7599642
1000,-1.8788704
1100,-2.6403027
1200,-2.6908424
1300,-2.6737983
1400,-2.3611364
1500,-1.817389
1600,-3.216449
1700,-2.895939
1800,-2.83116
1900,-2.0265872
2000,-3.205882
2100,-2.6550164
2200,-3.1343207
2300,-2.747257
2400,-1.6141249
2500,-2.9241211
2600,-3.0661578
2700,-1.9717221
2800,-2.9692254
2900,-1.8691941
3000,-3.5201783
3100,-1.7916406
3200,-1.7858311
3300,-3.1133282
3400,-2.662308
3500,-3.2962475
3600,-3.1673307
3700,-3.039543
3800,-2.074267
3900,-1.8499571
4000,-2.0172422
4100,-2.110456
4200,-3.7707949
4300,-3.1772454
4400,-2.2078333
4500,-3.6481333
4600,-2.8690124
4700,-1.9670144
4800,-3.2049818
4900,-2.0994282
5000,-2.0617616
5100,-2.973947
5200,-2.9862068
5300,-3.7084985
5400,-3.7930791
5500,-2.2379305
5600,-3.6165512
5700,-3.0925913
5800,-1.9821875
5900,-3.1112444
6000,-2.2153568
6100,-2.1288674
6200,-3.9861863
6300,-2.1393201
6400,-3.2124107
6500,-3.5094538
6600,-3.7578516
6700,-1.9370848
6800,-3.9769306
6900,-2.0619814
7000,-3.4020734
7100,-1.9203991
7200,-2.1867735
7300,-3.7505622
7400,-4.5133533
7500,-3.9188845
7600,-2.0444021
7700,-3.936325
7800,-3.4334059
7900,-3.8791692
8000,-3.0730462
8100,-2.2132266
8200,-2.0983543
8300,-3.8165438
8400,-4.233054
8500,-2.9987738
8600,-2.1269684
8700,-4.1063313
8800,-2.2422483
8900,-1.9533304
9000,-3.1553652
9100,-2.3666134
9200,-2.1843674
9300,-3.8688614
9400,-3.8275373
9500,-3.4735682
9600,-3.9654913
9700,-3.4713502
9800,-4.7335033
9900,-2.2302086
10000,-3.0425768
10100,-2.2338183
10200,-4.7605724
10300,-3.7713654
10400,-4.362193
10500,-4.5793705
10600,-3.9363334
10700,-4.048908
10800,-2.0589702
10900,-3.395087
11000,-4.1109304
11100,-4.8543344
11200,-2.2717507
11300,-2.8539004
11400,-3.1977613
11500,-2.4588976
11600,-3.5953264
11700,-3.8169544
11800,-4.2089252
11900,-2.3627534
12000,-3.8349547
12100,-3.5263183
12200,-2.5136654
12300,-4.1034713
12400,-3.3242795
12500,-3.2196615
12600,-2.690626
12700,-2.252922
12800,-2.9943435
12900,-3.4139178
13000,-2.1807737
13100,-4.848543
13200,-3.9484973
13300,-4.2426424
13400,-5.091297
13500,-4.087937
13600,-4.180632
13700,-2.4606533
13800,-2.3589544
13900,-3.291618
14000,-2.4223907
14100,-2.529618
14200,-2.6548324
14300,-3.677296
14400,-2.4979887
14500,-2.5117197
14600,-2.5652347
14700,-2.0165162
14800,-2.0979977
14900,-2.3732765
15000,-3.528798
15100,-2.86596
15200,-2.5731492
15300,-2.5552907
15400,-3.1376352
15500,-3.2725644
15600,-4.516886
15700,-5.5000525
15800,-2.9099417
15900,-2.8669572
16000,-2.3013384
16100,-3.0812216
16200,-2.923822
16300,-3.0636446
16400,-2.6011884
16500,-2.5167158
16600,-2.856329
16700,-3.3811634
16800,-2.5831666
16900,-2.8231158
17000,-2.5329955
17100,-3.020471
17200,-2.8197427
17300,-3.3151193
17400,-3.598865
17500,-2.928907
17600,-2.1218567
17700,-2.3320944
17800,-2.5312266
17900,-2.7802148
18000,-2.4001102
18100,-2.5319014
18200,-2.4236977
18300,-2.4169269
18400,-2.770018
18500,-2.372172
18600,-2.5984836
18700,-2.6479053
18800,-2.51411
18900,-2.6921074
19000,-2.4783828
19100,-2.6699934
19200,-2.368212
19300,-2.258023
19400,-2.4554114
19500,-2.1037197
19600,-2.605155
19700,-2.387112
19800,-2.1897383
19900,-2.547199
20000,-2.0906034
20100,-1.9490106
20200,-2.605289
20300,-2.4769425
20400,-2.2068238
20500,-2.3015442
20600,-2.1074781
20700,-1.930816
20800,-2.1543586
20900,-2.729042
21000,-2.2119136
21100,-2.1412678
21200,-2.096148
21300,-2.0108774
21400,-2.5570602
21500,-2.173107
21600,-2.5259445
21700,-2.6427505
21800,-2.2210176
21900,-2.0914876
22000,-2.5446663
22100,-1.7656304
22200,-2.9660602
22300,-2.07224
22400,-2.7333028
22500,-1.9245553
22600,-2.6892118
22700,-2.8575904
22800,-2.255848
22900,-2.5543745
23000,-2.3265238
23100,-2.3705451
23200,-2.6155524
23300,-2.4768457
23400,-1.9152058
23500,-2.7313812
23600,-2.6649046
23700,-2.304833
23800,-2.4064043
23900,-1.7754332
24000,-1.9547987
24100,-1.9915161
24200,-2.4381669
24300,-1.9505506
24400,-1.7589961
24500,-1.924833
24600,-2.1359503
24700,-2.0832415
24800,-2.0481696
24900,-2.1283066
25000,-2.4124773
25100,-2.6442144
25200,-2.0377078
25300,-1.9666853
25400,-2.0589466
25500,-2.2664766
25600,-2.0426123
25700,-1.7967993
25800,-2.0911174
25900,-2.6179888
26000,-2.0894186
26100,-2.0062482
26200,-1.9854417
26300,-2.7304544
26400,-1.985443
26500,-1.988822
26600,-2.2763207
26700,-1.7602578
26800,-2.5558789
26900,-2.0414746
27000,-2.0082183
27100,-2.5902224
27200,-1.7322807
27300,-2.0652392
27400,-1.8383758
27500,-1.8196061
27600,-1.8249178
27700,-2.6812937
27800,-2.2877061
27900,-2.2576668
28000,-2.0042887
28100,-2.5139875
28200,-2.1890311
28300,-2.5080318
28400,-2.1045547
28500,-2.0671196
28600,-2.0422604
28700,-1.9413848
28800,-2.703606
28900,-1.9190462
29000,-2.6554906
29100,-2.1732764
29200,-1.9452765
29300,-2.4175086
29400,-1.9521506
29500,-2.0807257
29600,-2.0980322
29700,-1.8970847
29800,-2.590308
29900,-2.1751838
30000,-2.1042893
30100,-2.4982183
30200,-2.2509851
30300,-2.3213673
30400,-2.0332189
30500,-2.3279934
30600,-2.5542192
30700,-1.9325365
30800,-1.8324624
30900,-2.1290946
31000,-2.4495318
31100,-2.403387
31200,-2.6434073
31300,-2.1491718
31400,-1.9059777
31500,-2.0552974
31600,-2.0242498
31700,-2.3709712
31800,-2.0808012
31900,-2.512278
32000,-2.1755338
32100,-2.2309983
32200,-2.3258746
32300,-1.9704822
32400,-2.0999784
32500,-2.2990024
32600,-2.6708884
32700,-1.7512163
32800,-1.8332074
32900,-2.249183
33000,-2.1672997
33100,-2.5488715
33200,-2.2064385
33300,-2.51595
33400,-2.0248613
33500,-2.2388532
33600,-2.4023027
33700,-2.244826
33800,-2.2477183
33900,-1.9627942
34000,-1.8587713
34100,-2.483153
34200,-2.0406363
34300,-2.4633324
34400,-2.1790457
34500,-2.0366707
34600,-2.8319445
34700,-2.1697416
34800,-1.95913
34900,-2.433366
35000,-2.0990891
35100,-2.2557926
35200,-2.1807806
35300,-2.448044
35400,-2.2488868
35500,-2.4375925
35600,-1.7865831
35700,-2.6348877
35800,-2.5127904
35900,-2.216656
36000,-2.3151367
36100,-2.2782357
36200,-2.2932818
36300,-2.0584846
36400,-2.5504482
36500,-2.456983
36600,-2.0564175
36700,-1.9930491
36800,-2.1817837
36900,-2.1514676
37000,-2.0883176
37100,-2.1706975
37200,-2.4802585
37300,-1.8461821
37400,-1.9904306
37500,-2.250427
37600,-2.124108
37700,-1.9434074
37800,-2.2754965
37900,-2.1540494
38000,-2.5652783
38100,-1.8108581
38200,-2.0745041
38300,-2.3451686
38400,-2.4176946
38500,-2.4866233
38600,-2.4713578
38700,-1.8992186
38800,-2.4649246
38900,-2.0308459
39000,-2.10973
39100,-2.4984481
39200,-2.0455606
39300,-2.4339695
39400,-1.9981078
39500,-2.245451
39600,-2.5148067
39700,-1.9642134
39800,-2.1269925
39900,-1.9391894
40000,-2.4914756
40100,-2.0328703
40200,-2.377234
40300,-2.4480243
40400,-1.9761398
40500,-2.0150716
40600,-2.6355295
40700,-1.9150347
40800,-2.1281915
40900,-1.9128315
41000,-1.8077877
41100,-1.834992
41200,-2.510683
41300,-1.955342
41400,-2.6453812
41500,-2.048385
41600,-1.8170123
41700,-1.8613505
41800,-1.8213757
41900,-2.0482025
42000,-2.1001174
42100,-2.0165195
42200,-2.5602016
42300,-1.9092205
42400,-2.448799
42500,-2.2372227
42600,-2.1348767
42700,-1.9389592
42800,-2.1104202
42900,-2.0616238
43000,-2.3958874
43100,-2.2108824
43200,-1.7868011
43300,-1.9327987
43400,-2.4708078
43500,-1.9240226
43600,-2.121759
43700,-1.8121922
43800,-2.0648308
43900,-1.988956
44000,-2.6103888
44100,-1.9899359
44200,-2.0611393
44300,-2.5981195
44400,-2.3146224
44500,-2.3451235
44600,-2.4004977
44700,-2.4740276
44800,-2.5490649
44900,-2.182228
45000,-1.8429929
45100,-2.4783123
45200,-2.6979783
45300,-2.0314481
45400,-2.727027
45500,-1.8152355
45600,-2.148504
45700,-1.7980909
45800,-2.1291833
45900,-2.0276399
46000,-2.3369591
46100,-2.0087461
46200,-2.3260608
46300,-1.8122914
46400,-2.511433
46500,-2.561193
46600,-1.8425934
46700,-2.1841729
46800,-2.4682531
46900,-2.045977
47000,-1.8677123
47100,-2.0248985
47200,-2.3982131
47300,-1.8169485
47400,-2.193757
47500,-2.582643
47600,-2.005382
47700,-2.5147424
47800,-2.1239593
47900,-2.061883
48000,-1.8451995
48100,-2.0608816
48200,-2.0817451
48300,-2.136112
48400,-1.9891626
48500,-1.8751994
48600,-2.3923926
48700,-2.5120175
48800,-2.5566032
48900,-2.711959
49000,-1.7399853
49100,-1.8792926
49200,-1.8070617
49300,-1.9626763
49400,-2.0458841
49500,-2.0031693
49600,-2.2658644
49700,-1.9555594
49800,-2.1444411
49900,-2.6696548
50000,-2.0346313
50100,-2.055302
50200,-2.4093206
50300,-2.1290689
50400,-2.2464452
50500,-2.4828067
50600,-1.9925159
50700,-2.3363998
50800,-2.0211961
50900,-1.7350829
51000,-1.755812
51100,-1.9050902
51200,-2.3492575
51300,-2.124803
51400,-2.009017
51500,-2.167471
51600,-1.9289346
51700,-2.118864
51800,-2.1180162
51900,-2.0530758
52000,-2.0147753
52100,-2.1672344
52200,-2.0879273
52300,-2.3146663
52400,-1.8957758
52500,-2.043172
52600,-2.132663
52700,-2.0065787
52800,-1.9776239
52900,-1.9826282
53000,-2.3519628
53100,-2.0879614
53200,-2.0160294
53300,-2.054946
53400,-1.8228399
53500,-2.0450509
53600,-2.2559202
53700,-2.158485
53800,-2.180975
53900,-1.9394246
54000,-2.6417596
54100,-2.4569128
54200,-1.9093786
54300,-1.9304733
54400,-2.406805
54500,-2.2591538
54600,-2.5367913
54700,-2.0048888
54800,-1.9874282
54900,-1.9782943
55000,-2.1335304
55100,-1.902578
55200,-1.7962255
55300,-2.4755688
55400,-2.2553551
55500,-2.1364152
55600,-2.3054628
55700,-2.3467388
55800,-2.1966834
55900,-2.5621185
56000,-2.0217729
56100,-2.090103
56200,-2.65053
56300,-2.437715
56400,-1.8623706
56500,-1.9544919
56600,-2.0668292
56700,-1.7845371
56800,-2.1220558
56900,-2.0928948
57000,-1.990123
57100,-1.9665189
57200,-1.9787164
57300,-2.0310433
57400,-2.1753266
57500,-2.111263
57600,-2.154381
57700,-2.4658442
57800,-1.7593715
57900,-2.0348907
58000,-1.9032643
58100,-2.0427809
58200,-1.9080796
58300,-1.896207
58400,-2.6015513
58500,-1.8901148
58600,-2.0620081
58700,-1.9323974
58800,-1.9406794
58900,-1.9542105
59000,-1.8843298
59100,-2.0461752
59200,-2.0976617
59300,-1.9530113
59400,-2.283518
59500,-1.7941234
59600,-1.9674214
59700,-1.9715056
59800,-2.5087583
59900,-2.593172
60000,-2.085482
60100,-2.0432403
60200,-2.0656033
60300,-2.1723983
60400,-2.1879284
60500,-1.8334354
60600,-1.907661
60700,-2.102563
60800,-2.4344463
60900,-1.8968418
61000,-2.388049
61100,-2.0279043
61200,-2.0467083
61300,-1.9680496
61400,-2.3167665
61500,-2.377641
61600,-1.9848744
61700,-1.9619502
61800,-1.980564
61900,-2.0751178
62000,-1.7495255
62100,-2.087522
62200,-2.4014845
62300,-2.3613753
62400,-1.8960571
62500,-2.0577674
62600,-2.6139169
62700,-2.1902323
62800,-2.0456917
62900,-2.227674
63000,-2.0053172
63100,-2.360598
63200,-1.7541984
63300,-1.7681968
63400,-2.408105
63500,-1.930173
63600,-2.0025659
63700,-2.4573035
63800,-2.026237
63900,-2.0418122
64000,-1.9994018
64100,-2.1664367
64200,-2.5263503
64300,-1.8955971
64400,-1.8737171
64500,-1.7019604
64600,-2.3556023
